kind,league,slot,league_rank,name,url
team,Bundesliga,13,7,"Eintracht Frankfurt",https://4590football.com/livescore/football/team/169/eintracht-frankfurt
team,Serie A,13,7,"Bologna",https://4590football.com/livescore/football/team/500/bologna
team,Ligue 1,13,7,"Lille",https://4590football.com/livescore/football/team/79/lille
player,Premier League,14,7,"T. Edozie",https://4590football.com/livescore/football/player/546745/t-edozie
player,La Liga,14,7,"Elías Romero",https://4590football.com/livescore/football/player/440133/elias-romero
player,Bundesliga,14,7,"Mateo Zelic",https://4590football.com/livescore/football/player/406094/mateo-zelic
player,Serie A,14,7,"K. Meola",https://4590football.com/livescore/football/player/639655/k-meola
player,Ligue 1,14,7,"N. Sissoko",https://4590football.com/livescore/football/player/454432/n-sissoko
team,Premier League,15,8,"Everton",https://4590football.com/livescore/football/team/45/everton
team,La Liga,15,8,"Sevilla",https://4590football.com/livescore/football/team/536/sevilla
team,Bundesliga,15,8,"SC Freiburg",https://4590football.com/livescore/football/team/160/sc-freiburg
team,Serie A,15,8,"Como",https://4590football.com/livescore/football/team/895/como
team,Ligue 1,15,8,"Paris FC",https://4590football.com/livescore/football/team/114/paris-fc
player,Premier League,16,8,"Michael Dacosta",https://4590football.com/livescore/football/player/390769/michael-dacosta
player,La Liga,16,8,"M. Llorente",https://4590football.com/livescore/football/player/548707/m-llorente
player,Bundesliga,16,8,"S. Fukuda",https://4590football.com/livescore/football/player/405112/s-fukuda
player,Serie A,16,8,"K. Badori",https://4590football.com/livescore/football/player/559263/k-badori
player,Ligue 1,16,8,"J. Eickmayer",https://4590football.com/livescore/football/player/24175/j-eickmayer
team,Premier League,17,9,"Sunderland",https://4590football.com/livescore/football/team/746/sunderland
team,La Liga,17,9,"Espanyol",https://4590football.com/livescore/football/team/540/espanyol
team,Bundesliga,17,9,"Hamburger SV",https://4590football.com/livescore/football/team/175/hamburger-sv
team,Serie A,17,9,"Sassuolo",https://4590football.com/livescore/football/team/488/sassuolo
team,Ligue 1,17,9,"Toulouse",https://4590football.com/livescore/football/team/96/toulouse
player,Premier League,18,9,"C. Scott",https://4590football.com/livescore/football/player/637787/c-scott
player,La Liga,18,9,"Álvaro Djaló",https://4590football.com/livescore/football/player/190489/alvaro-djalo
player,Bundesliga,18,9,"V. Lassig",https://4590football.com/livescore/football/player/535117/v-lassig
player,Serie A,18,9,"A. Duncan",https://4590football.com/livescore/football/player/30532/a-duncan
player,Ligue 1,18,9,"S. Khaoui",https://4590football.com/livescore/football/player/2955/s-khaoui
team,Premier League,19,10,"Manchester United",https://4590football.com/livescore/football/team/33/manchester-united
team,La Liga,19,10,"Alaves",https://4590football.com/livescore/football/team/542/alaves
team,Bundesliga,19,10,"FC St. Pauli",https://4590football.com/livescore/football/team/186/fc-st-pauli
